Assembly_Segment,Booth_No,Total_Electors_2019,Pred_Turnout_Pct,Pred_Total_Votes,Pred_BJP_Vote_Share,Pred_BJP_Votes,Pred_INC_Vote_Share,Pred_INC_Votes,Pred_BSP_Vote_Share,Pred_BSP_Votes,Pred_ADK_Vote_Share,Pred_ADK_Votes,Pred_Other_Vote_Share,Pred_Other_Votes,Pred_Winner
Rohaniya,1,4978,0.11094066119097278,552,0.29778705624287144,164,0.22294512005017766,123,0.1652629158135511,91,0.1560871997941443,86,0.15791770809925562,87,BJP
Rohaniya,6,4829,0.12048102979792967,582,0.296084547819626,172,0.2144210673575522,125,0.1750616711153713,102,0.15663490088539175,91,0.15779781282205868,92,BJP
Rohaniya,11,4699,0.1284519248251548,604,0.31255874514996257,189,0.2136814026388128,129,0.1603492675938492,97,0.1555861304869471,94,0.15782445413042825,95,BJP
Rohaniya,16,4859,0.12463444361793437,606,0.28626281676653625,173,0.20873543467597747,126,0.17211931151476412,104,0.165538556540255,100,0.1673438805024671,101,BJP
Rohaniya,21,4812,0.11524382999237943,555,0.294335498345991,163,0.22765953105819808,126,0.1609263494626327,89,0.15747420525129543,87,0.15960441588188282,89,BJP
Rohaniya,26,4904,0.105183412902915,516,0.3169738072567725,164,0.2136329750954278,110,0.15845807078198948,82,0.15494134314394775,80,0.15599380372186247,80,BJP
Rohaniya,31,4769,0.10616239723734186,506,0.3015995614852737,153,0.21242655878048744,107,0.16915655874523042,86,0.15776624729612357,80,0.15905107369288488,80,BJP
Rohaniya,36,4653,0.11505664347045778,535,0.3045547201169476,163,0.21240470442665066,114,0.1630022024638151,87,0.15912143801100112,85,0.16091693498158557,86,BJP
Rohaniya,41,5000,0.10459228273852285,523,0.3177108532549015,166,0.21176660423436983,111,0.15863414967019054,83,0.15476855652532276,81,0.1571198363152154,82,BJP
Rohaniya,46,4991,0.12356304841068737,617,0.3127843910583134,193,0.2017200978591694,124,0.16778443026176285,104,0.15781075866911304,97,0.15990032215164124,99,BJP
Rohaniya,51,4705,0.1143275984863786,538,0.28555220878917,154,0.22525119006516933,121,0.16668123839938323,90,0.16041627672768058,86,0.1620990860185968,87,BJP
Rohaniya,56,4974,0.10769437467663544,536,0.27987137132353046,150,0.2308521482229609,124,0.16768040500945097,90,0.16013795152872126,86,0.16145812391533634,87,BJP
Rohaniya,61,4840,0.11004177373700588,533,0.29499457675245805,157,0.22443058203699545,120,0.16323889044904139,87,0.15748519204387568,84,0.1598507587176295,85,BJP
Rohaniya,66,4790,0.10656780470665286,510,0.27983172740095236,143,0.23685312269508335,121,0.16388938493816188,84,0.15910626236508496,81,0.1603195026007176,82,BJP
Rohaniya,71,4980,0.11520236415513173,574,0.2975924525773699,171,0.21756000240705559,125,0.1653732257086409,95,0.15854246629111124,91,0.16093185301582236,92,BJP
Rohaniya,76,4847,0.11327029503250957,549,0.3108155815530469,171,0.21367328019985454,117,0.16252127434220387,89,0.15527961895507458,85,0.1577102449498201,87,BJP
Rohaniya,81,4831,0.12387468116117581,598,0.3083834384425869,184,0.2155717154202564,129,0.1613827553786529,97,0.15592865260521638,93,0.15873343815328742,95,BJP
Rohaniya,86,4944,0.10988678977607824,543,0.2797264493172375,152,0.23141687589946366,126,0.171777550068036,93,0.1580644762276981,86,0.15901464848756475,86,BJP
Rohaniya,91,4904,0.12893425071382295,632,0.29670602535567353,188,0.21355432958833942,135,0.17018087929520104,108,0.15859176933187763,100,0.16096699642890844,102,BJP
Rohaniya,96,4719,0.1070863084083533,505,0.2890919836066224,146,0.2301524070882002,116,0.16302952407519186,82,0.1578746289585462,80,0.15985145627143937,81,BJP
Rohaniya,101,4850,0.10873774489994624,527,0.2671209664289462,141,0.22703641163920302,120,0.17400605262418475,92,0.16526585670695298,87,0.16657071260071288,88,BJP
Rohaniya,106,4934,0.1150209301753078,568,0.22895741324325536,130,0.28228732185226696,160,0.1666988579004359,95,0.16038365667533921,91,0.1616727503287025,92,INC
Rohaniya,111,4962,0.11352447507738841,563,0.3005064711426535,169,0.21659572672462865,122,0.16375371027589322,92,0.15849685242447933,89,0.16064723943234513,90,BJP
Rohaniya,116,4759,0.11472598128404735,546,0.29018912984387796,158,0.23155709871067426,126,0.16272675912223677,89,0.1571436428975108,86,0.15838336942570022,86,BJP
Rohaniya,121,4705,0.11384620602529054,536,0.31307395137512867,168,0.20760670189452807,111,0.16339914948468584,88,0.1571481213763185,84,0.15877207586933897,85,BJP
Rohaniya,126,4717,0.10732892009631509,506,0.27239032763481247,138,0.24138457792802454,122,0.1660169648756002,84,0.15931792419893887,81,0.16089020536262394,81,BJP
Rohaniya,131,4712,0.10813265181138347,510,0.29483983469764563,150,0.21995111997958555,112,0.16450335164110122,84,0.15937723391645392,81,0.1613284597652138,82,BJP
Rohaniya,136,4997,0.10212892890769779,510,0.2997127592435839,153,0.21044196935517273,107,0.1678615481959356,86,0.1604928673224805,82,0.1614908558828273,82,BJP
Rohaniya,141,4820,0.11039496613351395,532,0.29410539255030155,156,0.22864290283668148,122,0.16189598649743756,86,0.15656974071459376,83,0.15878597740098577,84,BJP
Rohaniya,146,4754,0.11086920635342888,527,0.3049006315367734,161,0.20982951946661876,111,0.16467670610939425,87,0.15940452911091915,84,0.16118861377629448,85,BJP
Rohaniya,151,4863,0.11187104492365464,544,0.3021799969542976,164,0.21825436059389308,119,0.16435856955411338,89,0.1565139063946235,85,0.15869316650307255,86,BJP
Rohaniya,156,4930,0.11757231791568953,580,0.28523930228775585,165,0.2305786934056867,134,0.1662218064882646,96,0.1578113314903429,92,0.16014886632794995,93,BJP
Rohaniya,161,5036,0.10257230211962477,517,0.31387141845206845,162,0.21376220549179378,111,0.16063768016399607,83,0.15506981728537506,80,0.15665887860676675,81,BJP
Rohaniya,166,4802,0.10984552237394701,527,0.3162377045909581,167,0.20519699774251302,108,0.1629629661109632,86,0.15651914517049287,82,0.15908318638507288,84,BJP
Rohaniya,171,4984,0.12407116766975992,618,0.2924824854718229,181,0.2232501400859597,138,0.16717357107978878,103,0.15762960979073237,97,0.1594641935716962,99,BJP
Rohaniya,176,4840,0.10382929511652951,503,0.3074711940493013,155,0.21466365335597667,108,0.16466880589720972,83,0.15575576894757778,78,0.15744057774993447,79,BJP
Rohaniya,181,4900,0.1147057999833027,562,0.3022630255945454,170,0.21146932765331558,119,0.16651280722227718,94,0.15881446251623685,89,0.16094037701362512,90,BJP
Rohaniya,186,4737,0.11855535648876647,562,0.30684022744342604,172,0.21424203016527324,120,0.16259281159487152,91,0.1569033676662874,88,0.15942156313014194,90,BJP
Rohaniya,191,4848,0.09575939150560515,464,0.2957440817997785,137,0.21981648858351766,102,0.16534421803489258,77,0.1584293595481601,74,0.16066585203365127,75,BJP
Rohaniya,196,5051,0.11033551302311058,557,0.303541741149628,169,0.21676940411198464,121,0.16352885234889633,91,0.1570783432198429,87,0.15908165916964806,89,BJP
Rohaniya,201,5002,0.12428230049327556,622,0.316214342375163,197,0.2117933433215661,132,0.1617124121303769,101,0.1542633168839987,96,0.15601658528889523,97,BJP
Rohaniya,206,4749,0.11336729847005882,538,0.3070081785036336,165,0.20530040815604694,110,0.1666830533879812,90,0.15941152633192762,86,0.16159683362041052,87,BJP
Rohaniya,211,4918,0.10771009131150543,530,0.29432078425593566,156,0.21985571024246942,117,0.16646640266695595,88,0.15869495172852202,84,0.16066215110611695,85,BJP
Rohaniya,216,4717,0.10140354866131611,478,0.2886266335878314,138,0.22869241936816812,109,0.16416427889316434,78,0.15845487798462296,76,0.16006179016621305,77,BJP
Rohaniya,221,4815,0.11599354541998631,559,0.29502709429996415,165,0.22476104822054177,126,0.16374878751000563,92,0.1569137435347684,88,0.15954932643472003,89,BJP
Rohaniya,226,5027,0.09923160738488514,499,0.2965747503257266,148,0.2211556286830675,110,0.16545354354584246,83,0.15731366260060858,78,0.15950241484475475,80,BJP
Rohaniya,231,4925,0.10365029607208691,510,0.2947841390111944,150,0.22733314630653306,116,0.16106244420965682,82,0.1575816999796676,80,0.1592385704929482,81,BJP
Rohaniya,236,4946,0.10314377615133861,510,0.2910797176675402,148,0.22933844414568844,117,0.16277729587731965,83,0.15703061020911827,80,0.15977393210033347,81,BJP
Rohaniya,241,4793,0.10839122572396083,520,0.28805660168200786,150,0.2243600304004312,117,0.16534184402389404,86,0.15947393002300345,83,0.16276759387066356,85,BJP
Rohaniya,246,4752,0.11848352477778881,563,0.3177890452445339,179,0.20037415094686292,113,0.16474785203671935,93,0.1570685948864412,88,0.1600203568854425,90,BJP
Rohaniya,251,4958,0.10797749254455903,535,0.2854353330806503,153,0.22463059907088065,120,0.16850020419789952,90,0.15980882360233972,85,0.1616250400482298,86,BJP
Rohaniya,256,4699,0.12079394884632148,568,0.3008593357239675,171,0.22266261408533253,126,0.1615481537505484,92,0.15642363659183123,89,0.15850625984832037,90,BJP
Rohaniya,261,4900,0.09524612687532985,467,0.25309298076812753,118,0.2650643181611976,124,0.1654476795692127,77,0.15713454557567944,73,0.1592604759257828,74,INC
Rohaniya,266,4801,0.10481529893295592,503,0.3122895067829245,157,0.20057228677026348,101,0.16572727911117488,83,0.16045653959837286,81,0.16095438773726436,81,BJP
Rohaniya,271,4758,0.11944165231781737,568,0.2982654923608952,169,0.21736368542294823,123,0.16402059853615045,93,0.15918077642478484,90,0.16116944725522112,92,BJP
Rohaniya,276,4954,0.0908020886996901,450,0.2880978514981243,130,0.2270483858877752,102,0.1643611889608171,74,0.15943859325454307,72,0.16105398039874036,72,BJP
Rohaniya,281,4809,0.11463598310044495,551,0.3146553834915554,173,0.212329045810555,117,0.16039392785820916,88,0.15532735597442604,86,0.15729428686525435,87,BJP
Rohaniya,286,4976,0.10843768722191545,540,0.32178978752781157,174,0.20009716318459914,108,0.16194197624620352,87,0.15738475920850856,85,0.15878631383287714,86,BJP
Rohaniya,291,5032,0.10210673110996604,514,0.2649624536047506,136,0.24586074807735364,126,0.16761017788898117,86,0.1602124330081975,82,0.16135418742071717,83,BJP
Rohaniya,296,5028,0.11070132950537967,557,0.2823325869471973,157,0.2299055780745956,128,0.16568551865285686,92,0.15988391499483856,89,0.16219240133051155,90,BJP
Rohaniya,301,4874,0.10462250273959153,510,0.27968355497453923,143,0.2256293536539737,115,0.1677898113768102,86,0.16271649265609325,83,0.16418078733858346,84,BJP
Rohaniya,306,4931,0.11002947009153169,543,0.2922044269237999,159,0.22768629736135415,124,0.1622084416901405,88,0.15858455989853928,86,0.15931627412616614,87,BJP
Rohaniya,311,4732,0.1210123931715245,573,0.2882180062692009,165,0.23016458643850052,132,0.16341233712386252,94,0.15781427749652194,90,0.16039079267191417,92,BJP
Rohaniya,316,4824,0.09618566722006314,464,0.2919904802262737,135,0.2276354225727515,106,0.16578537976228436,77,0.15614431634887443,72,0.15844440108981592,74,BJP
Rohaniya,321,5005,0.09891779782314016,495,0.282424622555673,140,0.23221675703191194,115,0.1648919262703078,82,0.15908177205496168,79,0.16138492208714558,80,BJP
Rohaniya,326,4945,0.12085177066705682,598,0.27957146377311776,167,0.2431657206223096,145,0.1620411381538816,97,0.15687473773426056,94,0.15834693971643046,95,BJP
Rohaniya,331,4984,0.10781509826542765,537,0.2771791760868217,149,0.23697305419211553,127,0.16485786227874305,89,0.15990797259799797,86,0.16108193484432176,87,BJP
Rohaniya,336,4679,0.11719267212431453,548,0.304844704722311,167,0.21638823939255064,119,0.16282301988272457,89,0.1570954403586552,86,0.15884859564375867,87,BJP
Rohaniya,341,4815,0.11902529727872102,573,0.29932840363857954,172,0.22962682734183923,132,0.1589567733922529,91,0.15556090321036128,89,0.15652709241696694,90,BJP
Rohaniya,346,4714,0.11122300381488867,524,0.31186910663002165,163,0.21837124676922287,114,0.15754219712408066,83,0.15489279622395286,81,0.1573246532527219,82,BJP
Rohaniya,351,4956,0.10489925841803294,520,0.29041330503670537,151,0.22915638277341185,119,0.1635552684815922,85,0.15778411825810662,82,0.1590909254501839,83,BJP
Rohaniya,356,4934,0.10219878797329103,504,0.30187911031890013,152,0.21837382015298326,110,0.16235017439542776,82,0.15769857169348397,79,0.15969832343920487,80,BJP
Rohaniya,361,4840,0.11866288008746718,574,0.28846092358728154,166,0.24252279678710523,139,0.15968891719987174,92,0.15376909407624437,88,0.1555582683494972,89,BJP
Rohaniya,366,4849,0.10334046958065421,501,0.23778318239199353,119,0.26593089334869846,133,0.1698520411858787,85,0.16286361642334027,82,0.16357026665008897,82,INC
Rohaniya,371,4727,0.1048616441885912,496,0.28856272837345914,143,0.2326446765985795,115,0.16248626575168695,81,0.1578251813763843,78,0.15848114789989018,79,BJP
Rohaniya,376,4938,0.11111809484171829,549,0.29154583189635574,160,0.22950156438255817,126,0.16194409831890844,89,0.15755341387111116,86,0.1594550915310664,88,BJP
Rohaniya,381,4705,0.10319129873347752,486,0.299175002045286,145,0.22722283052419062,110,0.16064373592352565,78,0.15598603999601446,76,0.15697239151098324,76,BJP
Rohaniya,386,4931,0.108294709293825,534,0.27212699692256387,145,0.24307788043540682,130,0.16445508205365109,88,0.15934819474980463,85,0.16099184583857357,86,BJP
Rohaniya,391,5020,0.1254306858261434,630,0.299706563436397,189,0.2223554289079485,140,0.16266560609744352,102,0.15649588122544786,99,0.1587765203327631,100,BJP
Rohaniya,396,4764,0.11896031054631348,567,0.29638277178919264,168,0.21714909238824287,123,0.16730557988649514,95,0.15890866895373423,90,0.16025388698233514,91,BJP
Rohaniya,401,4931,0.10766844431442851,531,0.27514642937989287,146,0.24058363547645323,128,0.1667888452694566,89,0.15821394306858763,84,0.15926714680560985,85,BJP
Sevapuri,5,4930,0.08998169214773187,444,0.27386969507212083,122,0.24389587731040138,108,0.1681834949696202,75,0.15621986882013347,69,0.1578310638277241,70,BJP
Sevapuri,10,4771,0.10008832169543372,478,0.2925500971861177,140,0.22705794000536553,109,0.1629492239786087,78,0.1578708643683186,75,0.15957187446158955,76,BJP
Sevapuri,15,4962,0.12155452832345644,603,0.3152650892771688,190,0.21086386825566078,127,0.16347859562388847,99,0.15410335101582068,93,0.15628909582746123,94,BJP
Sevapuri,20,4712,0.11449929147711731,540,0.32822309388734794,177,0.20296363814427282,110,0.16132921906081704,87,0.15290477381582307,83,0.15457927509173927,83,BJP
Sevapuri,25,4674,0.10229773937720862,478,0.2901479737668184,139,0.2237871622402684,107,0.16525541600813218,79,0.15972067831680511,76,0.16108876966797586,77,BJP
Sevapuri,30,4854,0.11590924441995093,563,0.3027917579779038,170,0.2126689808722462,120,0.16514340266582728,93,0.15814169561512784,89,0.16125416286889488,91,BJP
Sevapuri,35,4962,0.10769176923947803,534,0.30218758862166273,161,0.22033364274655498,118,0.16192931802276866,86,0.1571082612891234,84,0.15844118931989026,85,BJP
Sevapuri,40,5064,0.10773923762320563,546,0.2791606660835256,152,0.2317447951663316,127,0.16597558377098087,91,0.16067789456761544,88,0.16244106041154652,89,BJP
Sevapuri,45,4997,0.11109152871511137,555,0.3193795014355639,177,0.21399252587761622,119,0.16148202158629946,90,0.15163008442662831,84,0.15351586667389208,85,BJP
Sevapuri,50,5040,0.10938042646005286,551,0.30015443863883534,165,0.22026671479817855,121,0.16299302114002345,90,0.15697788638961344,86,0.15960793903334922,88,BJP
Sevapuri,55,4877,0.10935973861517631,533,0.28497802980729187,152,0.229931442243546,123,0.16611678891184414,89,0.1580780394537344,84,0.16089569958358352,86,BJP
Sevapuri,60,4837,0.12797577920020595,619,0.3007623358314695,186,0.21169236321763477,131,0.16564756704533365,103,0.15972624257656973,99,0.16217149132899247,100,BJP
Sevapuri,65,4962,0.10741509901577538,533,0.28030143847787453,149,0.23253019894593832,124,0.16774429192273999,89,0.15905377405048718,85,0.16037029660296007,85,BJP
Sevapuri,70,4806,0.10854533749087622,522,0.27114658024543375,142,0.2456349664919677,128,0.163586215555169,85,0.15906316623155015,83,0.16056907147587954,84,BJP
Sevapuri,75,4881,0.10666635682275413,521,0.31525855421013294,164,0.20795536764341072,108,0.1623542623647545,85,0.1562495369111445,81,0.15818227887055739,82,BJP
Sevapuri,80,4838,0.11116360276863065,538,0.26417178040906636,142,0.23889503718797217,129,0.17073096376225158,92,0.16250409089341059,87,0.1636981277472993,88,BJP
Sevapuri,85,4822,0.11745587714990033,566,0.2947983098420422,167,0.22281458179888988,126,0.16457225624530744,93,0.15784730929532795,89,0.15996754281843262,91,BJP
Sevapuri,90,4798,0.11813614409993303,567,0.29581883313185936,168,0.22044410675671539,125,0.16441906772392365,93,0.15829843323787512,90,0.16101955914962632,91,BJP
Sevapuri,95,4965,0.1300201910144445,646,0.28812248778434063,186,0.2256930159679488,146,0.1648117329140796,106,0.15936524937927724,103,0.1620075139543538,105,BJP
Sevapuri,100,4932,0.11801310809429548,582,0.2773862297964861,161,0.23122747142689581,135,0.16713585217397214,97,0.16131398697734628,94,0.16293645962529976,95,BJP
Sevapuri,105,4749,0.11626524528703762,552,0.2907986829016401,161,0.21699334313678592,120,0.16775887408668397,93,0.16120585840501167,89,0.16324324146987837,90,BJP
Sevapuri,110,4905,0.10673479944321912,524,0.3279801150110675,172,0.1953480490158042,102,0.1632237494051469,86,0.15592694154373402,82,0.15752114502424763,83,BJP
Sevapuri,115,4784,0.1108378970548749,530,0.28579215953418413,151,0.2268532798325017,120,0.16566058947670995,88,0.1597874450199716,85,0.16190652613663262,86,BJP
Sevapuri,120,5036,0.11720923783620894,590,0.31524022839690424,186,0.21002530723631715,124,0.16090622514347996,95,0.15587748745733734,92,0.1579507517659613,93,BJP
Sevapuri,125,4778,0.1045222237434109,499,0.2920704187904136,146,0.2296371689602365,115,0.16170756235101702,81,0.15723139933535726,78,0.15935345056297567,80,BJP
Sevapuri,130,4922,0.10535649762813348,519,0.2953143793814805,153,0.22561940892801471,117,0.16254013041405346,84,0.15715759695872028,82,0.15936848431773107,83,BJP
Sevapuri,135,4903,0.10537437614582902,517,0.31806281151277793,164,0.20320464741216057,105,0.16351769699675733,85,0.1561897515854711,81,0.1590250924928331,82,BJP
Sevapuri,140,4867,0.11445362254195614,557,0.3225228540405149,180,0.20375277888420315,113,0.16026614952335122,89,0.1559688168359476,87,0.15748940071598325,88,BJP
Sevapuri,145,4708,0.10334993643925128,487,0.2889855305325065,141,0.22953501178101496,112,0.16342582029501793,80,0.15802116948195433,77,0.16003246790950632,78,BJP
Sevapuri,150,4789,0.11472554305516686,549,0.3063600089378785,168,0.21048116477468767,116,0.1694450344972314,93,0.15534655860738264,85,0.15836723318281978,87,BJP
Sevapuri,155,5029,0.11911781025688102,599,0.3091642416907441,185,0.21302907558781992,128,0.1620919707344697,97,0.15699126309494363,94,0.15872344889202278,95,BJP
Sevapuri,160,4852,0.10509535694715802,510,0.21787023539582598,111,0.3037570271476159,155,0.1655668284709361,84,0.1559082962855861,80,0.15689761270003602,80,INC
Sevapuri,165,4768,0.10605646393462229,506,0.31172328915247355,158,0.20502168327152095,104,0.16576875683270564,84,0.15804183562417373,80,0.15944443511912612,81,BJP
Sevapuri,170,4671,0.11374078356462183,531,0.32220253880930555,171,0.19993054435828006,106,0.16352107820387868,87,0.15678250001104505,83,0.15756333861749075,84,BJP
Sevapuri,175,4890,0.11584174767360507,566,0.28843465482651964,163,0.22536763332885024,128,0.16677973082356448,94,0.15923820941029573,90,0.16017977161077002,91,BJP
Sevapuri,180,4885,0.10276457107463376,502,0.2917906898402103,146,0.22501090665499254,113,0.16429832228064312,82,0.15815414956159624,79,0.16074593166255782,81,BJP
